c_id|c_d_id|c_w_id|c_first|c_middle|c_last|c_street_1|c_street_2|c_city|c_state|c_zip|c_phone|c_since|c_credit|c_credit_lim|c_discount|c_balance|c_ytd_paymenr|c_payment_cnt|c_delivery_cnt|c_data
11|1|4|HbXuToi3FuSjA3U0|OE|BAROUGHTBAR|HSRAcFsBWiHod|oJye0wOdY7|V4sULy1JVAwwTaXOI5S|zh|475911111|9236546292339072|39|GC|50000.00|.2912|-10.00|1.00|0|0|zQrUx8LVcfNbBDw2r3eA7ras02MXYydAh85Xjs4sOLtSk6OltaCZGko2Zkgpu3eDJsZF9XGZiLtA8CxOJBQi84d3KU4GoG5uqhpN6V3CDVWijP4ElVQPQyLaCWwgxq9M2dGmyhLNMz8oHHnuuwJdLQFE5o9EKWR3fBLPAEmYNHWsj5teC4lqyK1TiDWTG9VVwyC7kbDLx80LCZrbx0L4ZmbENB9osmS8MZij1MV0gAmrP2QqOMO2DV4QphUZcCty8v8LTXHjLhO2RHgdGYAj4lmubWyz2EloqYbEuacMZLcEpji1ivJ5CTPrd1wWIbwRCnaEvP6a0BAzkQaIyaQ5F9JNRSdscKAbGG1mtmXxDQbtOUIzpAfhoGdGm158y53ay08U4k7Mz3ZPWWlLxYy1mgtTRMOAE85VrFU3kxp8En2q24JvkZWoBuXeYn063MtYJqUy4xVz
12|1|4|R2l0xpY8d|OE|BAROUGHTOUGHT|InVsAFfQQZa|ur0BZINRQ5mZF|snpIvwVbfYhOsoNSG|St|626911111|5549800257025265|39|GC|50000.00|.4085|-10.00|1.00|0|0|kPLlRKbPsjjmICql3rvkpAFkbKOuj0AssBtrFhGH0kQaHmnvVIAwCIS4xqrZJa4Rb7nvewYmpRihFGl7Yyece2UxUIC7nw5wRSWKSfAIbrOR8SGvBVo7110QKDWJk7cZkVKLfAB1z4gVbQCmnDpWIkCzEQ1X4pd6Aat40iE3WQKY1zp0zM45B6DsuMFdYT2kKJfY7QZ9KwulJcLfq4kUObPDz3j123xrmJOyFPX4AVsyazSpleTArkkLy5HCZ2DMPOjjCjqsd412UP50c2qv4ip6IU2opF3XgkcIDfPpQPhd9S2uQAP7LeeLVKy5i0nJI5PLUrLBsV0H8JHmDZnflKewez5wygEcyn55W7uhtIoAJHE0TF
13|1|4|JLnXI58GgRBugihj|OE|BAROUGHTABLE|NoDn8u2SOs|2aKmafpAgSht6OcPM9D|Ap1l2OfNdiJ|y8|850411111|5850736735327156|39|GC|50000.00|.3904|-10.00|1.00|0|0|XYJMQuzpoVXPbrXBaLFvpWJHr3jofSX785p9UOLInVnvAdLDDtZASR8beAJAbiySlrDzKRSxuRTlSpYawEU4Gf9a4amPWCVrRPcwSxEgOq9s709dY6pGbUsCSbJg0pDWayRU08juCsuNXnH7Uh23AuXgWgz6uBJVx39IEOAYEJS6lHGtbf6Dx9N43yepW1Z1Oyn5zsTvth57fcf8mNr2sqlK7xrpbctt9SklJR9dDAz07mIu6QkrMwcblpl64eTvaC05mSyziGar3nwFDnVQkrO8S7ZFCDU3K0d0Mnwrzhf928YCq1NOkXwv7sWfQqrPjYdCdbDAzPjTfRu6mKPkuxzYYcewE6WCOnCsdM0266XKIJW0XZ6h0QhUIN1UBD7Mod7pObeuXBFitVeGPlz5Ti7zcYkMfusm0p
14|1|4|MyveAtdWCkB|OE|BAROUGHTPRI|OG19ctc9MBrKsN7x|l34jjohXeR5|pmGlhCyLQeL0T|T4|086811111|3702961137997835|39|GC|50000.00|.3101|-10.00|1.00|0|0|EEl89MRsAmuKdivKKNCfa55SdSdy3MCn0jvcmucsQgM40OBvnVanrA3N1ZAM2DphTWhVSgAB2RQPYrEmhd5UF2JkqAkGsdoULpc8ClVCcxZQXfXOM4UNQj3mpCaOK2aYcDyMcHOWCvJkKdTN0IpnTFpsXpEYXn0p2dW7IpQuXNiB3Vc2GwqdxybBncKoK80TaADxdx9UofePDUQuLLUzQayB9dNEvYCZaa1ybZFkgRYEurKfgiECtyTcPk7K3D9tjUOZwWJARQf8ceoKy4R1MValXFT577zjBZrmNmy4pVkEIlpPpRCW5FPL6b6xOubusmIZBY4aBr2IoGyKgboyfZra0J9vF0hDPUZI4GXbnphrHao39Pekn
15|1|4|NQhwtNLkkog93H8|OE|BAROUGHTPRES|f7E1tM1Uv2|XM0ilDwnDM5FgDo|XGVVtQI6mj6fn|K1|505211111|9891090422173371|39|GC|50000.00|.3106|-10.00|1.00|0|0|F7tKg6JvyuP37n222o03u04TKymKzmScRU8eJEGt29xoXZt1rlqhaqw4XGQ3rIX2MeYIFkBtNgWU1eeJE4qcugXtjXrY4j7RuFUL5eiLGjO8m0HyaaKRMog4rqkMEre3Ix2sqibnDPq3UUpr61UVnqlrjVxH6cvGTOFg9CxsjDSNa9sHTTbPITT2SgKpPqoejVE6DTMgbu1IgSxfSHvTlbKJStGFIr0W1ggIwJTpIUIQYvELp07RWdluXdvbilYJWzAGJCkCZfS8mqeGv9YurkLiDAE7NtWka82vPcfmL8wcuoi9moHHmjhJ22oA4fxyvAlNgp68zVkHv2sg5Cftxedn48VikmZNmweNbNIgamLwHHsn47PhnHWdjcTzY4b09NzAEtg4lm8txTO5GzhL76nvBodafr5CMp6lkVmpwytAlN7fXCt2BKCDKqLkriumS0DaW
16|1|4|PGdC09nIfZ|OE|BAROUGHTESE|2e7WSa5oV1lu9eyc3Wd|NdrEqg0QjXtf3KAbmHSF|zWtnWmWcyyD7XBIdOi|lY|032311111|8362832446227201|39|GC|50000.00|.1151|-10.00|1.00|0|0|v2fn7nC1d6GZ3IAOwcdT3LMafAiY5n7zvTKP6sSN2jRwBxKCYPvpKcbmUOtRaU4o5aAHTtvwWM1Fj2tbAcbarXq0mOE8iNHH8ICvsxhr4ZvimjyLoKNANePwew659xYGSVd3y0KiATOe45DGoGYptyLz6QQhpphlzg0RkiyNWCoRko6NmVlx3rg5kxIjn5zAnnz9CTKHpR0vD5vWRcUfLZHgeKKRD1cI5oWf2kLg2FG9SY3nAxb1QzV4thSg9PaDCwjF3ATRfGBXeT0hakhJVzVjKYJt8SDyKsY0BnD6LLVybXavt65ehsn6swOi8Letd3XKYQ2LsYU6yVuoifJzOT7SeeeNHrrHihvxmgdrJN3ToU
17|1|4|fDbf74V80An6|OE|BAROUGHTANTI|3JkTtI3iKhBbPsu7|MlkXCd3plStFOYk|MjLNucQSw33b5LNdT|Eu|392811111|2396096817295665|39|GC|50000.00|.0326|-10.00|1.00|0|0|a220ZSwGqnWwbA5gsjBKevH1aL3fnMtWFaF5DOM1tshmtZJ8EpWKT5JSWCquMl8qc87ZTOxEGkH857Mx89YSHKekm43o3clVBZKBr97BJbyg3QWOldO7osS1Vf0oVxguhfsbLq3UGACdovDAKWmTs8swv1iEd7fuRbcAQ2rcCa6l3yLrzSMviDttNJmCvtYichntA8V0TQaAevasFLpG01Wu56a1p4yJSyRU0zcsAD46gqylrKRYCd1LYHWdXa5rIMQPMnSQqgoa3CNpSd3NYQaJvL0dUXpOyZsgyVfjiatreGSyujv0MM8dpmBRswb7RuklePWjcrlXsnPddqoYbzTHTQPbqypYwyO6cLircqHZFIOaUSBNtLwKqQv2LW5G4YtaPzyv1Fij5KV6If1566MxHmoqdCf4K8Ba0qPOjkWH0haw4E3rTIBrSaQmyZurmv02Zn9peWAQz7RZhzJ16oq8rXtluyQcJXGf7JQlq
18|1|4|iiOkB4uXYU803c|OE|BAROUGHTCALLY|EmGbV5pTBNbBoBCcJB|t5e0OpyL6lv|5aOAlxNAHrd|sN|506811111|3214482357093149|39|BC|50000.00|.3792|-10.00|1.00|0|0|q4Fu7k8I19mwPUlZHKu2GlE2wDCrqPf2bJwfq5Fvs13dDu7NEuOq0iVCMTHIwUEuVriv0CMnIWPa4L39zRn3prGhIJkcfefSmuTgjfYXYB4Pj8lGtK6qi5JqcjWjFvIjGf3KhFhLTATlLxHGNe4gbMkUmlQlspCjwEek7N9wdDukDWon0jDuYLrEf8zpWH7A04leDuq91RGWq6Zv0YamTPnWUcgIXrJu5cAEJE4lLj2CAL3xD5vS1yVrIlkU9BPWZSzVqj0EdAaYxq4lPd51tDShsJSYzJyP9wvKb8Te2jV3STrBkSPJcFzr0ZmcRbAYlNhHL9h1mzr51vBtsUsoNJExVLyALkllU3uFOfh7yl6rHyCO7ANwia2XpAy2atw4itCZy9cVTPLlVNwuRiaLDGcXPewcupCdQuBgnWPnQcd1hSlVsg2juh
19|1|4|TXdl8oMeS9C|OE|BAROUGHTATION|DqYL500RMydeNQ6n|Ljlq3rlVVi|S4pKlwYeaVw1|HC|708011111|1808707892725420|39|GC|50000.00|.2661|-10.00|1.00|0|0|HHWE6jJpMB6EdzNRg6nkcsmpLRrptfMrVkZLXtairBTfOFyHLE51BAhAqoZGOCKHqRsYuYjT3bq1SzIbd1kxv2EnNXFDYNzTwBJlITk0kQiRmDrHZbF7BG7bx1EofpLYkDSpPk2bX1EAsPE2IeLuweEsilwxvaDwXKQ72d9PAAGs48YjsMphUDETF3iShC1n9DLCMsfsgXK53TfSFUz25mxHBu2WlrbDpxF3zwH5GR2vjJZUHjnT0JI5LvYiyq8W9JliaVz83P6XzeS4RTRfdpLVpOG18BZuczY5vRfuwakxM35caHwAXuJosgWh
20|1|4|UbSyumXQx26|OE|BAROUGHTEING|MPOKwaXaOOxd0|iDIxmLDaLUZQNNb|b3Zpvy5C3YXOpvW|12|034511111|7001925904768015|39|GC|50000.00|.1499|-10.00|1.00|0|0|GaV1TSaSAyJhgqgZbwLwyHZGdRMr2yu8pgkRMpWq71ZUsZhw7wefltgXqvMdyjFenITTRkPw26nsA7AEF8bGmN2m1QpSAjyWDfYiZPdjRx6X4Z5N47xs5bFWHnuSH5Uq4MloghndAbQsGaBNy8LSUjYxrgtztCEkWJ2BOZIhgzXLhIyvsGHkvstt305kt7b8dOo0wFtLA5Bs3XPKXtqgidlOowOfPTEpcW5kmH7cmFdXVh0PnDXoPMRFcqDgfGwUcRqPqpCiiS5zUykL9zSU6JuGIweVty71zBVwf4LoUrF8NO
